name	type	units	description
Fp1	EEG	uV	scalp EEG
AFp1	EEG	uV	scalp EEG
AFz	EEG	uV	scalp EEG
AF3	EEG	uV	scalp EEG
AF7	EEG	uV	scalp EEG
AFF5h	EEG	uV	scalp EEG
AFF1h	EEG	uV	scalp EEG
F1	EEG	uV	scalp EEG
F3	EEG	uV	scalp EEG
F5	EEG	uV	scalp EEG
F7	EEG	uV	scalp EEG
F9	EEG	uV	scalp EEG
FFT9h	EEG	uV	scalp EEG
FFT7h	EEG	uV	scalp EEG
FFC5h	EEG	uV	scalp EEG
FFC3h	EEG	uV	scalp EEG
FFC1h	EEG	uV	scalp EEG
FCz	EEG	uV	scalp EEG
FC1	EEG	uV	scalp EEG
FC3	EEG	uV	scalp EEG
FC5	EEG	uV	scalp EEG
FT7	EEG	uV	scalp EEG
FT9	EEG	uV	scalp EEG
FTT9h	EEG	uV	scalp EEG
FTT7h	EEG	uV	scalp EEG
FCC5h	EEG	uV	scalp EEG
FCC3h	EEG	uV	scalp EEG
FCC1h	EEG	uV	scalp EEG
C1	EEG	uV	scalp EEG
C3	EEG	uV	scalp EEG
C5	EEG	uV	scalp EEG
T7	EEG	uV	scalp EEG
TTP7h	EEG	uV	scalp EEG
CCP5h	EEG	uV	scalp EEG
CCP3h	EEG	uV	scalp EEG
CCP1h	EEG	uV	scalp EEG
CP1	EEG	uV	scalp EEG
CP3	EEG	uV	scalp EEG
CP5	EEG	uV	scalp EEG
TP7	EEG	uV	scalp EEG
LISCM	EMG	uV	repurposed scalp electrodes as neck EMG
TPP9h	EEG	uV	scalp EEG
TPP7h	EEG	uV	scalp EEG
CPP5h	EEG	uV	scalp EEG
CPP3h	EEG	uV	scalp EEG
CPP1h	EEG	uV	scalp EEG
P1	EEG	uV	scalp EEG
P3	EEG	uV	scalp EEG
P5	EEG	uV	scalp EEG
P7	EEG	uV	scalp EEG
PPO5h	EEG	uV	scalp EEG
PPO1h	EEG	uV	scalp EEG
POz	EEG	uV	scalp EEG
PO3	EEG	uV	scalp EEG
PO7	EEG	uV	scalp EEG
PPO9h	EEG	uV	scalp EEG
LSSCM	EMG	uV	repurposed scalp electrodes as neck EMG
LSTrap	EMG	uV	repurposed scalp electrodes as neck EMG
POO9h	EEG	uV	scalp EEG
O1	EEG	uV	scalp EEG
POO1	EEG	uV	scalp EEG
LITrap	EMG	uV	repurposed scalp electrodes as neck EMG
OI1h	EEG	uV	scalp EEG
Iz	EEG	uV	scalp EEG
CGY-x	MISC	g	BrainVision amplifier accelerometer
CGY-y	MISC	g	BrainVision amplifier accelerometer
CGY-z	MISC	g	BrainVision amplifier accelerometer
Cz	EEG	uV	scalp EEG
C2	EEG	uV	scalp EEG
C4	EEG	uV	scalp EEG
C6	EEG	uV	scalp EEG
T8	EEG	uV	scalp EEG
FTT10h	EEG	uV	scalp EEG
FTT8h	EEG	uV	scalp EEG
FCC6h	EEG	uV	scalp EEG
FCC4h	EEG	uV	scalp EEG
FCC2h	EEG	uV	scalp EEG
FC2	EEG	uV	scalp EEG
FC4	EEG	uV	scalp EEG
FC6	EEG	uV	scalp EEG
FT8	EEG	uV	scalp EEG
FT10	EEG	uV	scalp EEG
FFT10h	EEG	uV	scalp EEG
FFT8h	EEG	uV	scalp EEG
FFC6h	EEG	uV	scalp EEG
FFC4h	EEG	uV	scalp EEG
FFC2h	EEG	uV	scalp EEG
Fz	EEG	uV	scalp EEG
F2	EEG	uV	scalp EEG
F4	EEG	uV	scalp EEG
F6	EEG	uV	scalp EEG
F8	EEG	uV	scalp EEG
F10	EEG	uV	scalp EEG
AFF6h	EEG	uV	scalp EEG
AFF2h	EEG	uV	scalp EEG
AF4	EEG	uV	scalp EEG
AF8	EEG	uV	scalp EEG
Fp2	EEG	uV	scalp EEG
AFp2	EEG	uV	scalp EEG
Oz	EEG	uV	scalp EEG
OI2h	EEG	uV	scalp EEG
RITrap	EMG	uV	repurposed scalp electrodes as neck EMG
RISCM	EMG	uV	repurposed scalp electrodes as neck EMG
POO10h	EEG	uV	scalp EEG
O2	EEG	uV	scalp EEG
POO2	EEG	uV	scalp EEG
PO4	EEG	uV	scalp EEG
PO8	EEG	uV	scalp EEG
PPO10h	EEG	uV	scalp EEG
RSSCM	EMG	uV	repurposed scalp electrodes as neck EMG
PPO6h	EEG	uV	scalp EEG
PPO2h	EEG	uV	scalp EEG
Pz	EEG	uV	scalp EEG
P2	EEG	uV	scalp EEG
P4	EEG	uV	scalp EEG
P6	EEG	uV	scalp EEG
P8	EEG	uV	scalp EEG
TPP10h	EEG	uV	scalp EEG
TPP8h	EEG	uV	scalp EEG
CPP6h	EEG	uV	scalp EEG
CPP4h	EEG	uV	scalp EEG
CPP2h	EEG	uV	scalp EEG
CP2	EEG	uV	scalp EEG
CP4	EEG	uV	scalp EEG
CP6	EEG	uV	scalp EEG
TP8	EEG	uV	scalp EEG
RSTrap	EMG	uV	repurposed scalp electrodes as neck EMG
TTP8h	EEG	uV	scalp EEG
CCP6h	EEG	uV	scalp EEG
CCP4h	EEG	uV	scalp EEG
CCP2h	EEG	uV	scalp EEG
CWR-x	MISC	g	BrainVision amplifier accelerometer
CWR-y	MISC	g	BrainVision amplifier accelerometer
CWR-z	MISC	g	BrainVision amplifier accelerometer
N-Fp1	MISC	uV	noise-layer electrode
N-AFp1	MISC	uV	noise-layer electrode
N-AFz	MISC	uV	noise-layer electrode
N-AF3	MISC	uV	noise-layer electrode
N-AF7	MISC	uV	noise-layer electrode
N-AFF5h	MISC	uV	noise-layer electrode
N-AFF1h	MISC	uV	noise-layer electrode
N-F1	MISC	uV	noise-layer electrode
N-F3	MISC	uV	noise-layer electrode
N-F5	MISC	uV	noise-layer electrode
N-F7	MISC	uV	noise-layer electrode
N-FFT7h	MISC	uV	noise-layer electrode
N-FFC5h	MISC	uV	noise-layer electrode
N-FFC3h	MISC	uV	noise-layer electrode
N-FFC1h	MISC	uV	noise-layer electrode
N-FCz	MISC	uV	noise-layer electrode
N-FC1	MISC	uV	noise-layer electrode
N-FC3	MISC	uV	noise-layer electrode
N-FC5	MISC	uV	noise-layer electrode
N-FT7	MISC	uV	noise-layer electrode
N-FTT7h	MISC	uV	noise-layer electrode
N-FCC5h	MISC	uV	noise-layer electrode
N-FCC3h	MISC	uV	noise-layer electrode
N-FCC1h	MISC	uV	noise-layer electrode
N-C1	MISC	uV	noise-layer electrode
N-C3	MISC	uV	noise-layer electrode
N-C5	MISC	uV	noise-layer electrode
N-TTP7h	MISC	uV	noise-layer electrode
N-CCP5h	MISC	uV	noise-layer electrode
N-CCP3h	MISC	uV	noise-layer electrode
N-CCP1h	MISC	uV	noise-layer electrode
N-CP1	MISC	uV	noise-layer electrode
N-CP3	MISC	uV	noise-layer electrode
N-CP5	MISC	uV	noise-layer electrode
N-TP7	MISC	uV	noise-layer electrode
N-TPP9h	MISC	uV	noise-layer electrode
N-TPP7h	MISC	uV	noise-layer electrode
N-CPP5h	MISC	uV	noise-layer electrode
N-CPP3h	MISC	uV	noise-layer electrode
N-CPP1h	MISC	uV	noise-layer electrode
N-P1	MISC	uV	noise-layer electrode
N-P3	MISC	uV	noise-layer electrode
N-P5	MISC	uV	noise-layer electrode
N-P7	MISC	uV	noise-layer electrode
N-PPO5h	MISC	uV	noise-layer electrode
N-PPO1h	MISC	uV	noise-layer electrode
N-POz	MISC	uV	noise-layer electrode
N-PO3	MISC	uV	noise-layer electrode
N-PO7	MISC	uV	noise-layer electrode
N-PPO9h	MISC	uV	noise-layer electrode
N-POO9h	MISC	uV	noise-layer electrode
N-O1	MISC	uV	noise-layer electrode
N-POO1	MISC	uV	noise-layer electrode
N-OI1h	MISC	uV	noise-layer electrode
N-Iz	MISC	uV	noise-layer electrode
NGY-x	MISC	g	BrainVision amplifier accelerometer
NGY-y	MISC	g	BrainVision amplifier accelerometer
NGY-z	MISC	g	BrainVision amplifier accelerometer
N-Cz	MISC	uV	noise-layer electrode
N-C2	MISC	uV	noise-layer electrode
N-C4	MISC	uV	noise-layer electrode
N-C6	MISC	uV	noise-layer electrode
N-FTT8h	MISC	uV	noise-layer electrode
N-FCC6h	MISC	uV	noise-layer electrode
N-FCC4h	MISC	uV	noise-layer electrode
N-FCC2h	MISC	uV	noise-layer electrode
N-FC2	MISC	uV	noise-layer electrode
N-FC4	MISC	uV	noise-layer electrode
N-FC6	MISC	uV	noise-layer electrode
N-FT8	MISC	uV	noise-layer electrode
N-FFT8h	MISC	uV	noise-layer electrode
N-FFC6h	MISC	uV	noise-layer electrode
N-FFC4h	MISC	uV	noise-layer electrode
N-FFC2h	MISC	uV	noise-layer electrode
N-Fz	MISC	uV	noise-layer electrode
N-F2	MISC	uV	noise-layer electrode
N-F4	MISC	uV	noise-layer electrode
N-F6	MISC	uV	noise-layer electrode
N-F8	MISC	uV	noise-layer electrode
N-AFF6h	MISC	uV	noise-layer electrode
N-AFF2h	MISC	uV	noise-layer electrode
N-AF4	MISC	uV	noise-layer electrode
N-AF8	MISC	uV	noise-layer electrode
N-Fp2	MISC	uV	noise-layer electrode
N-AFp2	MISC	uV	noise-layer electrode
N-Oz	MISC	uV	noise-layer electrode
N-OI2h	MISC	uV	noise-layer electrode
N-POO10h	MISC	uV	noise-layer electrode
N-O2	MISC	uV	noise-layer electrode
N-POO2	MISC	uV	noise-layer electrode
N-PO4	MISC	uV	noise-layer electrode
N-PO8	MISC	uV	noise-layer electrode
N-PPO10h	MISC	uV	noise-layer electrode
N-PPO6h	MISC	uV	noise-layer electrode
N-PPO2h	MISC	uV	noise-layer electrode
N-Pz	MISC	uV	noise-layer electrode
N-P2	MISC	uV	noise-layer electrode
N-P4	MISC	uV	noise-layer electrode
N-P6	MISC	uV	noise-layer electrode
N-P8	MISC	uV	noise-layer electrode
N-TPP10h	MISC	uV	noise-layer electrode
N-TPP8h	MISC	uV	noise-layer electrode
N-CPP6h	MISC	uV	noise-layer electrode
N-CPP4h	MISC	uV	noise-layer electrode
N-CPP2h	MISC	uV	noise-layer electrode
N-CP2	MISC	uV	noise-layer electrode
N-CP4	MISC	uV	noise-layer electrode
N-CP6	MISC	uV	noise-layer electrode
N-TP8	MISC	uV	noise-layer electrode
N-TTP8h	MISC	uV	noise-layer electrode
N-CCP6h	MISC	uV	noise-layer electrode
N-CCP4h	MISC	uV	noise-layer electrode
N-CCP2h	MISC	uV	noise-layer electrode
NWR-x	MISC	g	BrainVision amplifier accelerometer
NWR-y	MISC	g	BrainVision amplifier accelerometer
NWR-z	MISC	g	BrainVision amplifier accelerometer
GRF_L	MISC	N	loadsol GRF
GRF_R	MISC	N	loadsol GRF
